ID,English Word,Tachelhit Expression
1,a,a.mas.: yan
2,abandon,fel
3,abbreviation,"assigzul/azzigzul, issigzulen/izzigzulen"
4,abdicate,ffeɣ tagldit
5,abdication,"ufuɣ, ufuɣen n tegldit"
6,abdomen,"aguniḍ, iguniḍen"
7,abduct,akʷer
8,abductee,"amgzdu, imgzduten"
9,abduction,"agzdu, igzdwan"
10,abductor,"amsgzdu, imsgzduten"
11,abide,1.To put up with; tolerate. Ajj
12,abide by,sker
13,ability,"afus, ifassen"
14,able,iẓeḍaṛn i
15,abnormal,ur ikccemn ixf/agayyu
16,abort,ɣri
17,abortion,"aɣray, iɣrayen"
18,abricot,"tiqarqact, tiqarqacin"
19,abroad,beṛṛa
20,abscess,"anccaf, inccafen"
21,absence,"tisikit/tisikʷit, tisikitin/tisikiwin"
22,absent,yutn/ikkatn
23,absent-minded,ishan
24,absinth,"cciba, id cciba"
25,absolute,iggutn
26,absolutely,bahra
27,absolution,"talilt, tilila"
28,absorb,ssumm
29,abstain,fel
30,abstract,n uswingem
31,absurd,igan anufel/axlu/iṣiḍ
32,absurdity,"anzzray, inzzrayen"
33,abyss,"ugar, ugaren"
34,acacia,"taddut, tiddutin"
35,academic,n tekadimit/tekadmikt
36,accaulescent,agʷýḍaḍ
37,accelerate,azzel
38,accelator,"amzizzal/amsizzal/amsizzel, imzizzalen/msizzalen/imsizzelen"
39,accept,"1.If you accept something, you say yes to it or take it from. Iri"
40,acceptable,iffeɣn
41,access,"imi, imawwen"
42,accident,"1.An unexpected event which something unfortunate happens. Tunant, tunanin"
43,accidental,d-ikkuttan/izzan
44,acclaim,ut ṛṛec/aḥwac
45,accommodate,kkes tt
46,accommodation,"tazduɣt, tizduɣin"
47,accompany,"1.If you accompany someone, you go with them. Mun"
48,accomplice,"asmmun, ismmunen"
49,accord,"1.If you do something ‘of your own accord’, you do it willingly and not because you have been forced to do it. Inna i as ugayyu/ixf/uqllal"
50,according to,"1.If something is true according to a particular person, that person says that is true. S wawal/imi"
51,account,"1.A written or spoken report of something. Anqqis, inqqisen"
52,account for,"1.If something or something ‘accounts for’ something, they explain it. Ssfru"
53,accountant,"amssiḍen, imssiḍenen"
54,accumulate,Smun
55,accurate,illan
56,accuse,jder
57,accustom,imyur
58,achieve,hiyyu
59,achievement,"tarnnawt, tirnnawin"
60,acid,"tismmi, tismmiwin"
61,acknowledge,"1.If you acknowledge a fact or situation, you agree or admit that it is true. Ssen"
62,acorn,"aderna, idernaten"
63,acquaintance,tussena/tawssena
64,acquire,ili
65,acquit,kkes tumela
66,acre,"akṛ, ikṛan"
67,acrobat,"ahiyyaḍ, ihiyyaḍen"
68,action,"tawwuri, tiwwuriwin"
69,active,ittemmussun
70,activity,"1.Activity is a situation in which a lot of things are happening at the same time. Amussu, imussuten"
71,actor,"aṣwab, iṣwaben"
72,actress,"taṣwabt, tiṣwabin"
73,actual,illan
74,actually,1.Really. S tidt/tiddt/tillawt
75,ad,"tadllalt, tidlllain"
76,adapt,"1.If you adapt to a new situation, you change so that you can deal with it successfully. Imyur"
77,add,"1.If you ‘add’ something to a number of things, you put it with the other things. Eg"
78,adder,"tahra, tahriwin"
79,addict,"animyur, inimyuren n waylillu/tekmmayt…"
80,addicted,ittutn ɣ ixf
81,addition,"1.Something that has been added to something else. Tufut, tufutin"
82,additional,yaḍn
83,adequate,yudan
84,adhere,ɣʷi
85,adipose,igan anddad
86,adjacent,iḥadan
87,adjective,"afris, ifrisen"
88,adjourn,ajj ar kiɣ
89,adjust,"1.If you adjust something, you change its position or alter it in some other way. Sgadda"
90,admirable,ifulkin/iɣudan
91,admire,ssusem
92,admission,iqqaṛiḍen/idrimen̸ iṣulḍiyen/ujhayen n ukccum
93,admit,"1.If you admit something, or if you ‘admit to’ it, you agree often reluctantly, that is true. Ssen"
94,adobe,tafza
95,adolescence,"tamẓayt, timẓayin"
96,adolescent,"amawaḍ, imawaḍen"
97,adopt,"1.If you adopt a child, you take him or her into your family as your son or daughter. Syes"
98,adoption,"asyes, isyesen"
99,adore,ḥmel/iri bahra
100,adulator,"aḥẓẓaṛ, iḥẓẓaṛen"
101,adult,"a. mas.: argaz, irgazen"
102,adulterous,iksarn akur/tikra/ahgges…
103,adultery,"akur, akuren"
104,advanced,izwarn
105,advantage,"1.A benefit or something that puts you in a better position. Ṣaḥa, id ṣaḥa"
106,adventure,"tasmsksalt, timsksalin"
107,adverb,"amrnu, imrna"
108,adversary,"afna, infaten"
109,advert,"tadllalt, tidlllain"
110,advertise,"1.If you advertise something, you tell people about it, for example in newspaper or on television. Brreḥ"
111,advice,"awal, iwaliwen"
112,advise,smigel/smagel
113,adviser,"bu-usmigel, id bu-usmigel"
114,aerial,"isk, askiwen n ttilibizyun"
115,aerodrome,"azaggʷez, izaggʷezen n taylalin"
116,aeroplane,"taylalt, taylalin"
117,affect,1.Have an effect on; make a difference to. Awi
118,affected,1.Influenced or touched by an external factor. Mu iḥawel/igger
119,affection,tamlla
120,affirm,eg d tidt/teɣʷẓni
121,affirmation,"assiɣʷẓin/ azziɣʷẓin, issiɣʷẓinen/ izziɣʷẓinen"
122,afford,"1.If you cannot afford something, you don’t have enough money to pay for it. Lkem"
123,afraid,"1.If you are afraid of someone or afraid to do something, you are frightened because you think that something unpleasant is going to happen. Ikṣuḍn"
124,Africa,Ifri
125,African,1.Belonging or relating to Africa. N Ufri/Ufriqqiya/Tefrikt
126,afternoon,"1.The time from noon or lunchtime to evening. tiṛeẓẓi, tiṛeẓẓiwin n uzal"
127,afternoon nap,"tulsut, tulustin"
128,afterward,ilmma
129,afterwards,ilmma
130,again,daɣ
131,against,1.Touching and leaning on. F
132,agglutinate,bbujji
133,agency,"tasnurayt, tisnurayin"
134,agent,"1.Someone who arranges work or business for other people, especially 4 actors or singers. Amazzal, imazzalen"
135,aggression,"taddiwt, tiddiwin"
136,aggressive,iqqjern
137,aghast,ifteln
138,agile,ifssusn
139,agitate,smass
140,ago,ay-ad
141,agony,"aṭṭan, aṭṭanen"
142,agree,"1.If you agree with someone, you have the same opinion as them. Ack-d"
143,agree on,ssack-d
144,agreement,"assacka, issackaten"
145,agriculture,tayyireza (mad. tayyireza ur talla ø temazirt-ad)֎֎ takreza
146,ahead,1.In front. Amnid/mnid
147,aid,"tiwisi, tiwisiwin"
148,aileron,"afayrar, ifayraren"
149,air,"1.Air is the mixture of gases which we breathe and which forms the earth’s atmosphere. Aḍu, iḍaggʷen"
150,air bubble,"alus, ilusen"
151,aircraft,"taylalt, taylalin"
152,airdrome,"azaggʷez, izaggʷezen n taylalin"
